genus,Body_Site,Site Type,count,rel_abun,,,,,,,,,,
Other,Alar crease,Sebaceous,2,0.071428571,,,,,,,,,,
Brachybacterium,Alar crease,Sebaceous,4,0.142857143,,,,,,,,,,
Brevibacterium,Alar crease,Sebaceous,1,0.035714286,,,,,,,,,,
Citrobacter,Alar crease,Sebaceous,0,0,,,,,,,,,,
Corynebacterium,Alar crease,Sebaceous,5,0.178571429,,,,,,,,,,
Dermabacter,Alar crease,Sebaceous,0,0,,,,,,,,,,
Dermacoccus,Alar crease,Sebaceous,0,0,,,,,,,,,,
Dietzia,Alar crease,Sebaceous,5,0.178571429,,,,,,,,,,
Enterobacter,Alar crease,Sebaceous,1,0.035714286,,,,,,,,,,
Enterococcus,Alar crease,Sebaceous,0,0,,,,,,,,,,
Escherichia,Alar crease,Sebaceous,1,0.035714286,,,,,,,,,,
Gordonia,Alar crease,Sebaceous,0,0,,,,,,,,,,
Granulicatella,Alar crease,Sebaceous,0,0,,,,,,,,,,
Janibacter,Alar crease,Sebaceous,0,0,,,,,,,,,,
Klebsiella,Alar crease,Sebaceous,0,0,,,,,,,,,,
Kocuria,Alar crease,Sebaceous,0,0,,,,,,,,,,
Microbacterium,Alar crease,Sebaceous,0,0,,,,,,,,,,
Micrococcus,Alar crease,Sebaceous,4,0.142857143,,,,,,,,,,
Nesterenkonia,Alar crease,Sebaceous,0,0,,,,,,,,,,
Pseudoclavibacter,Alar crease,Sebaceous,0,0,,,,,,,,,,
Rothia,Alar crease,Sebaceous,0,0,,,,,,,,,,
Sphingobacterium,Alar crease,Sebaceous,0,0,,,,,,,,,,
Staphylococcus,Alar crease,Sebaceous,4,0.142857143,,,,,,,,,,
Cutibacterium,Alar crease,Sebaceous,1,0.035714286,,,,,,,,,,
Other,Volar forearm,Rarely Moist,1,0.034482759,,,,,,,,,,
Brachybacterium,Volar forearm,Rarely Moist,1,0.034482759,,,,,,,,,,
Brevibacterium,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Citrobacter,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Corynebacterium,Volar forearm,Rarely Moist,5,0.172413793,,,,,,,,,,
Dermabacter,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Dermacoccus,Volar forearm,Rarely Moist,1,0.034482759,,,,,,,,,,
Dietzia,Volar forearm,Rarely Moist,1,0.034482759,,,,,,,,,,
Enterobacter,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Enterococcus,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Escherichia,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Gordonia,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Granulicatella,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Janibacter,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Klebsiella,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Kocuria,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Microbacterium,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Micrococcus,Volar forearm,Rarely Moist,18,0.620689655,,,,,,,,,,
Nesterenkonia,Volar forearm,Rarely Moist,1,0.034482759,,,,,,,,,,
Pseudoclavibacter,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Rothia,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Sphingobacterium,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Staphylococcus,Volar forearm,Rarely Moist,1,0.034482759,,,,,,,,,,
Cutibacterium,Volar forearm,Rarely Moist,0,0,,,,,,,,,,
Other,Antecubital fossa,Rarely Moist,3,0.12,,,,,,,,,,
Brachybacterium,Antecubital fossa,Rarely Moist,1,0.04,,,,,,,,,,
Brevibacterium,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Citrobacter,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Corynebacterium,Antecubital fossa,Rarely Moist,6,0.24,,,,,,,,,,
Dermabacter,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Dermacoccus,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Dietzia,Antecubital fossa,Rarely Moist,1,0.04,,,,,,,,,,
Enterobacter,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Enterococcus,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Escherichia,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Gordonia,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Granulicatella,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Janibacter,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Klebsiella,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Kocuria,Antecubital fossa,Rarely Moist,2,0.08,,,,,,,,,,
Microbacterium,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Micrococcus,Antecubital fossa,Rarely Moist,10,0.4,,,,,,,,,,
Nesterenkonia,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Pseudoclavibacter,Antecubital fossa,Rarely Moist,1,0.04,,,,,,,,,,
Rothia,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Sphingobacterium,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Staphylococcus,Antecubital fossa,Rarely Moist,1,0.04,,,,,,,,,,
Cutibacterium,Antecubital fossa,Rarely Moist,0,0,,,,,,,,,,
Other,Nares,Moist,4,0.210526316,,,,,,,,,,
Brachybacterium,Nares,Moist,1,0.052631579,,,,,,,,,,
Brevibacterium,Nares,Moist,0,0,,,,,,,,,,
Citrobacter,Nares,Moist,1,0.052631579,,,,,,,,,,
Corynebacterium,Nares,Moist,3,0.157894737,,,,,,,,,,
Dermabacter,Nares,Moist,2,0.105263158,,,,,,,,,,
Dermacoccus,Nares,Moist,0,0,,,,,,,,,,
Dietzia,Nares,Moist,0,0,,,,,,,,,,
Enterobacter,Nares,Moist,0,0,,,,,,,,,,
Enterococcus,Nares,Moist,0,0,,,,,,,,,,
Escherichia,Nares,Moist,0,0,,,,,,,,,,
Gordonia,Nares,Moist,1,0.052631579,,,,,,,,,,
Granulicatella,Nares,Moist,0,0,,,,,,,,,,
Janibacter,Nares,Moist,0,0,,,,,,,,,,
Klebsiella,Nares,Moist,1,0.052631579,,,,,,,,,,
Kocuria,Nares,Moist,1,0.052631579,,,,,,,,,,
Microbacterium,Nares,Moist,0,0,,,,,,,,,,
Micrococcus,Nares,Moist,3,0.157894737,,,,,,,,,,
Nesterenkonia,Nares,Moist,0,0,,,,,,,,,,
Pseudoclavibacter,Nares,Moist,0,0,,,,,,,,,,
Rothia,Nares,Moist,0,0,,,,,,,,,,
Sphingobacterium,Nares,Moist,0,0,,,,,,,,,,
Staphylococcus,Nares,Moist,2,0.105263158,,,,,,,,,,
Cutibacterium,Nares,Moist,0,0,,,,,,,,,,
Other,Back,Sebaceous,1,0.047619048,,,,,,,,,,
Brachybacterium,Back,Sebaceous,1,0.047619048,,,,,,,,,,
Brevibacterium,Back,Sebaceous,0,0,,,,,,,,,,
Citrobacter,Back,Sebaceous,0,0,,,,,,,,,,
Corynebacterium,Back,Sebaceous,3,0.142857143,,,,,,,,,,
Dermabacter,Back,Sebaceous,1,0.047619048,,,,,,,,,,
Dermacoccus,Back,Sebaceous,0,0,,,,,,,,,,
Dietzia,Back,Sebaceous,1,0.047619048,,,,,,,,,,
Enterobacter,Back,Sebaceous,0,0,,,,,,,,,,
Enterococcus,Back,Sebaceous,0,0,,,,,,,,,,
Escherichia,Back,Sebaceous,0,0,,,,,,,,,,
Gordonia,Back,Sebaceous,0,0,,,,,,,,,,
Granulicatella,Back,Sebaceous,0,0,,,,,,,,,,
Janibacter,Back,Sebaceous,1,0.047619048,,,,,,,,,,
Klebsiella,Back,Sebaceous,0,0,,,,,,,,,,
Kocuria,Back,Sebaceous,2,0.095238095,,,,,,,,,,
Microbacterium,Back,Sebaceous,1,0.047619048,,,,,,,,,,
Micrococcus,Back,Sebaceous,9,0.428571429,,,,,,,,,,
Nesterenkonia,Back,Sebaceous,0,0,,,,,,,,,,
Pseudoclavibacter,Back,Sebaceous,0,0,,,,,,,,,,
Rothia,Back,Sebaceous,0,0,,,,,,,,,,
Sphingobacterium,Back,Sebaceous,0,0,,,,,,,,,,
Staphylococcus,Back,Sebaceous,1,0.047619048,,,,,,,,,,
Cutibacterium,Back,Sebaceous,0,0,,,,,,,,,,
Other,Toe web space,Moist,1,0.037037037,,,,,,,,,,
Brachybacterium,Toe web space,Moist,1,0.037037037,,,,,,,,,,
Brevibacterium,Toe web space,Moist,4,0.148148148,,,,,,,,,,
Citrobacter,Toe web space,Moist,0,0,,,,,,,,,,
Corynebacterium,Toe web space,Moist,4,0.148148148,,,,,,,,,,
Dermabacter,Toe web space,Moist,0,0,,,,,,,,,,
Dermacoccus,Toe web space,Moist,0,0,,,,,,,,,,
Dietzia,Toe web space,Moist,3,0.111111111,,,,,,,,,,
Enterobacter,Toe web space,Moist,0,0,,,,,,,,,,
Enterococcus,Toe web space,Moist,0,0,,,,,,,,,,
Escherichia,Toe web space,Moist,0,0,,,,,,,,,,
Gordonia,Toe web space,Moist,0,0,,,,,,,,,,
Granulicatella,Toe web space,Moist,0,0,,,,,,,,,,
Janibacter,Toe web space,Moist,0,0,,,,,,,,,,
Klebsiella,Toe web space,Moist,1,0.037037037,,,,,,,,,,
Kocuria,Toe web space,Moist,3,0.111111111,,,,,,,,,,
Microbacterium,Toe web space,Moist,1,0.037037037,,,,,,,,,,
Micrococcus,Toe web space,Moist,4,0.148148148,,,,,,,,,,
Nesterenkonia,Toe web space,Moist,0,0,,,,,,,,,,
Pseudoclavibacter,Toe web space,Moist,0,0,,,,,,,,,,
Rothia,Toe web space,Moist,1,0.037037037,,,,,,,,,,
Sphingobacterium,Toe web space,Moist,2,0.074074074,,,,,,,,,,
Staphylococcus,Toe web space,Moist,2,0.074074074,,,,,,,,,,
Cutibacterium,Toe web space,Moist,0,0,,,,,,,,,,
Other,Umbilicus,Moist,1,0.083333333,,,,,,,,,,
Brachybacterium,Umbilicus,Moist,0,0,,,,,,,,,,
Brevibacterium,Umbilicus,Moist,0,0,,,,,,,,,,
Citrobacter,Umbilicus,Moist,0,0,,,,,,,,,,
Corynebacterium,Umbilicus,Moist,5,0.416666667,,,,,,,,,,
Dermabacter,Umbilicus,Moist,3,0.25,,,,,,,,,,
Dermacoccus,Umbilicus,Moist,1,0.083333333,,,,,,,,,,
Dietzia,Umbilicus,Moist,0,0,,,,,,,,,,
Enterobacter,Umbilicus,Moist,0,0,,,,,,,,,,
Enterococcus,Umbilicus,Moist,1,0.083333333,,,,,,,,,,
Escherichia,Umbilicus,Moist,0,0,,,,,,,,,,
Gordonia,Umbilicus,Moist,0,0,,,,,,,,,,
Granulicatella,Umbilicus,Moist,0,0,,,,,,,,,,
Janibacter,Umbilicus,Moist,0,0,,,,,,,,,,
Klebsiella,Umbilicus,Moist,0,0,,,,,,,,,,
Kocuria,Umbilicus,Moist,0,0,,,,,,,,,,
Microbacterium,Umbilicus,Moist,0,0,,,,,,,,,,
Micrococcus,Umbilicus,Moist,0,0,,,,,,,,,,
Nesterenkonia,Umbilicus,Moist,0,0,,,,,,,,,,
Pseudoclavibacter,Umbilicus,Moist,0,0,,,,,,,,,,
Rothia,Umbilicus,Moist,0,0,,,,,,,,,,
Sphingobacterium,Umbilicus,Moist,0,0,,,,,,,,,,
Staphylococcus,Umbilicus,Moist,1,0.083333333,,,,,,,,,,
Cutibacterium,Umbilicus,Moist,0,0,,,,,,,,,,
Other,Occiput,Sebaceous,0,0,,,,,,,,,,
Brachybacterium,Occiput,Sebaceous,0,0,,,,,,,,,,
Brevibacterium,Occiput,Sebaceous,0,0,,,,,,,,,,
Citrobacter,Occiput,Sebaceous,0,0,,,,,,,,,,
Corynebacterium,Occiput,Sebaceous,1,0.047619048,,,,,,,,,,
Dermabacter,Occiput,Sebaceous,0,0,,,,,,,,,,
Dermacoccus,Occiput,Sebaceous,0,0,,,,,,,,,,
Dietzia,Occiput,Sebaceous,1,0.047619048,,,,,,,,,,
Enterobacter,Occiput,Sebaceous,0,0,,,,,,,,,,
Enterococcus,Occiput,Sebaceous,0,0,,,,,,,,,,
Escherichia,Occiput,Sebaceous,0,0,,,,,,,,,,
Gordonia,Occiput,Sebaceous,0,0,,,,,,,,,,
Granulicatella,Occiput,Sebaceous,1,0.047619048,,,,,,,,,,
Janibacter,Occiput,Sebaceous,0,0,,,,,,,,,,
Klebsiella,Occiput,Sebaceous,0,0,,,,,,,,,,
Kocuria,Occiput,Sebaceous,3,0.142857143,,,,,,,,,,
Microbacterium,Occiput,Sebaceous,0,0,,,,,,,,,,
Micrococcus,Occiput,Sebaceous,12,0.571428571,,,,,,,,,,
Nesterenkonia,Occiput,Sebaceous,0,0,,,,,,,,,,
Pseudoclavibacter,Occiput,Sebaceous,0,0,,,,,,,,,,
Rothia,Occiput,Sebaceous,1,0.047619048,,,,,,,,,,
Sphingobacterium,Occiput,Sebaceous,0,0,,,,,,,,,,
Staphylococcus,Occiput,Sebaceous,2,0.095238095,,,,,,,,,,
Cutibacterium,Occiput,Sebaceous,0,0,,,,,,,,,,